"URL","Cena","Cena za m²","Adres","Powierzchnia (m²)","Liczba pokoi","Ogrzewanie","Rynek","Typ ogłoszeniodawcy","Rodzaj zabudowy","Rok budowy","Okna","Materiał budynku"
"https://www.otodom.pl/pl/oferta/sprdedam-zespol-palacowy-w-poborzu-8-ha-2-stawy-ID4rl2q","2 800 000 zł","2 800 zł/m²","Pobórz, Oporów, kutnowski, łódzkie","1000m²","10+ pokoi","węglowe
olejowe","wtórny","biuro nieruchomości","dworek/pałac","Brak danych","drewniane","cegła"
"https://www.otodom.pl/pl/oferta/atrakcyjny-dom-wolnostojacy-6pok-sulejowek-ID4teuM","2 790 000 zł","10 145 zł/m²","ul. Niepodległości, Sulejówek, miński, mazowieckie","275m²","6 pokoi","miejskie","wtórny","biuro nieruchomości","wolnostojący","2010","plastikowe","pustak"
"https://www.otodom.pl/pl/oferta/budynek-mieszkalny-na-40-arowej-dzialce-susiec-ID4weHG","400 000 zł","6 154 zł/m²","ul. Długa, Skwarki, Susiec, tomaszowski, lubelskie","65m²","2 pokoje","brak informacji","wtórny","biuro nieruchomości","brak informacji","Brak danych","Brak danych","Brak danych"
"https://www.otodom.pl/pl/oferta/dom-175-m-chorzow-ID4uh7n","1 159 000 zł","6 623 zł/m²","ul. Kasztanowa, Chorzów Batory, Chorzów, śląskie","175m²","4 pokoje","gazowe","wtórny","prywatny","bliźniak","1979","plastikowe","cegła"
"https://www.otodom.pl/pl/oferta/dom-wraz-z-dzialka-bez-posrednikow-i-polub-nas-ID3GDkI","465 000 zł","5 302 zł/m²","Janczewo, Santok, gorzowski, lubuskie","87.7m²","4 pokoje","brak informacji","pierwotny","prywatny","bliźniak","Brak danych","plastikowe","beton komórkowy"
"https://www.otodom.pl/pl/oferta/karbowo-piekny-komfortowy-dom-ID4qwlo","1 570 000 zł","6 280 zł/m²","Wiosenna, Karbowo, Brodnica, brodnicki, kujawsko-pomorskie","250m²","7 pokoi","pompa ciepła","wtórny","biuro nieruchomości","wolnostojący","Brak danych","plastikowe","pustak"
"https://www.otodom.pl/pl/oferta/dom-jednorodzinny-bez-pcc-od-dewelopera-mrokow-ID4weLj","985 000 zł","5 752 zł/m²","Mroków, Lesznowola, piaseczyński, mazowieckie","171.25m²","5 pokoi","brak informacji","pierwotny","biuro nieruchomości","bliźniak","2025","plastikowe","pustak"
"https://www.otodom.pl/pl/oferta/nowoczesny-dom-energooszczedny-dzialka-30ar-ID4weuo","890 000 zł","8 900 zł/m²","Serby, Głogów, głogowski, dolnośląskie","100m²","4 pokoje","brak informacji","wtórny","biuro nieruchomości","wolnostojący","2023","Brak danych","Brak danych"
"https://www.otodom.pl/pl/oferta/polowka-blizniaka-lesznowola-i-1099000-ID4weZ7","1 099 000 zł","8 863 zł/m²","ul. Szkolna, Lesznowola, Lesznowola, piaseczyński, mazowieckie","124m²","5 pokoi","pompa ciepła","pierwotny","biuro nieruchomości","bliźniak","2024","Brak danych","inny"
"https://www.otodom.pl/pl/oferta/niepowtarzalna-inwestycja-w-rowach-ID4oFbX","1 599 000 zł","6 396 zł/m²","ul. Bluszczowa, Rowy, Ustka, słupski, pomorskie","250m²","10+ pokoi","kominkowe","wtórny","biuro nieruchomości","szeregowiec","2013","Brak danych","pustak"
