URL,Cena,Cena za m²,Adres,Powierzchnia (m²),Liczba pokoi,Ogrzewanie,Rynek,Typ ogłoszeniodawcy,Rok budowy,Rodzaj zabudowy,Okna,Materiał budynku
https://www.otodom.pl/pl/oferta/ekskluzywny-apartament-w-sercu-bialki-tatrzanskiej-ID4ruAQ,859 000 zł,21 626 zł/m²,"ul. Środkowa, Białka Tatrzańska, Bukowina Tatrzańska, tatrzański, małopolskie",39.72m²,2 pokoje,inne,wtórny,biuro nieruchomości,2020,,,Brak danych
https://www.otodom.pl/pl/oferta/przestronne-3-pok-mieszkanie-63-m-w-inwestycji-ID4w6Mb,"904 108,91 zł",14 200 zł/m²,"ul. Szeligowska, Chrzanów, Bemowo, Warszawa, mazowieckie",63.67m²,3 pokoje,brak informacji,pierwotny,biuro nieruchomości,2025,Brak danych,,Brak danych
https://www.otodom.pl/pl/oferta/2-pokoje-10-min-do-metra-obok-lasu-ID4wgtx,549 000 zł,15 794 zł/m²,"ul. Maszewska, Chomiczówka, Bielany, Warszawa, mazowieckie",34.76m²,2 pokoje,miejskie,wtórny,biuro nieruchomości,2000,,Brak danych,
https://www.otodom.pl/pl/oferta/mieszkanie-2-pokojowe-z-duzym-ogrodem-i-sauna-ID4uvoG,733 000 zł,15 987 zł/m²,"ul. Janki Bryla, Wiczlino, Gdynia, pomorskie",45.85m²,2 pokoje,miejskie,wtórny,biuro nieruchomości,2019,,,
https://www.otodom.pl/pl/oferta/2-pokoje-oddano-do-uzytku-duzy-balkon-ID4wgnI,699 000 zł,14 064 zł/m²,"Zofii Gumińskiej, Zawidawie, Psie Pole, Wrocław, dolnośląskie",49.7m²,3 pokoje,miejskie,pierwotny,biuro nieruchomości,2024,,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-29m2-balkon-bez-prowizji-ID4ua3R,Brak danych,Brak danych,"ul. Słoneczna, Marki, wołomiński, mazowieckie",29.73m²,1 pokój,brak informacji,pierwotny,deweloper,2026,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-60m2-balkon-bezposrednio-ID4uldv,829 000 zł,13 748 zł/m²,"Lothara Herbsta, Sołtysowice, Psie Pole, Wrocław, dolnośląskie",60.3m²,3 pokoje,brak informacji,pierwotny,deweloper,2025,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-33m2-ogrodek-ID4ulRt,400 920 zł,12 000 zł/m²,"ul. Długa, Czarnochowice, Wieliczka, wielicki, małopolskie",33.41m²,2 pokoje,brak informacji,pierwotny,deweloper,2025,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/piekne-3-pokoje-na-parterze-po-kapitalnym-remoncie-ID4wgnn,379 500 zł,7 939 zł/m²,"ul. Jędrzeja i Jana Śniadeckich, Głogów, głogowski, dolnośląskie",47.8m²,3 pokoje,miejskie,wtórny,biuro nieruchomości,1980,,,Brak danych
https://www.otodom.pl/pl/oferta/wysoki-standard-2-pokoje-apartamenty-central-park-ID4wgtt,920 000 zł,22 434 zł/m²,"Nadodrze, Śródmieście, Wrocław, dolnośląskie",41.01m²,2 pokoje,miejskie,wtórny,biuro nieruchomości,2023,,Brak danych,
https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-38m2-balkon-bezposrednio-ID4unfb,Brak danych,Brak danych,"ul. Łąkowa, Mikulczyce, Zabrze, śląskie",38.34m²,2 pokoje,brak informacji,pierwotny,deweloper,2025,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/mieszkanie-wykonczone-w-pieknym-stylu-na-polance-ID4wgp9,999 000 zł,14 487 zł/m²,"ul. Milczańska, Łacina, Nowe Miasto, Poznań, wielkopolskie",68.96m²,4 pokoje,miejskie,wtórny,biuro nieruchomości,2024,,,
https://www.otodom.pl/pl/oferta/duzy-ogrodek-idealny-dom-dla-rodziny-ID4wgnB,1 050 000 zł,7 164 zł/m²,"Szymanów, Wisznia Mała, trzebnicki, dolnośląskie",146.57m²,5 pokoi,inne,pierwotny,biuro nieruchomości,2023,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-36m2-ogrodek-bezposrednio-ID4uhSz,598 620 zł,16 500 zł/m²,"ul. Centralna, Łęg, Czyżyny, Kraków, małopolskie",36.28m²,2 pokoje,brak informacji,pierwotny,deweloper,2027,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/najlepsza-cena-elastyczny-harmonogramem-top-ID4wgsF,599 000 zł,15 277 zł/m²,"ul. Pękowicka, Tonie, Prądnik Biały, Kraków, małopolskie",39.21m²,2 pokoje,brak informacji,pierwotny,biuro nieruchomości,2026,,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/2-pokojowe-z-2-balkonami-na-klinach-ID4usv1,720 000 zł,14 907 zł/m²,"ul. prof. Wojciecha Marii Bartla, Kliny, Swoszowice, Kraków, małopolskie",48.3m²,2 pokoje,miejskie,wtórny,biuro nieruchomości,2002,,,Brak danych
https://www.otodom.pl/pl/oferta/wyjatkowe-mieszkanie-3pokoje-winda-2tarasy-balkon-ID4s68v,940 000 zł,12 955 zł/m²,"ul. Marsa, Osowa, Gdańsk, pomorskie",72.56m²,3 pokoje,miejskie,wtórny,biuro nieruchomości,2015,,,Brak danych
https://www.otodom.pl/pl/oferta/piekne-dwa-pokoje-z-miejscem-w-hali-garazowej-ID4wgoI,599 000 zł,12 904 zł/m²,"ul. Kazimierza Wielkiego, Orunia Górna - Gdańsk Południe, Gdańsk, pomorskie",46.42m²,2 pokoje,miejskie,wtórny,biuro nieruchomości,2020,,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/m3-gotowe-do-odbioru-ID4sdte,685 014 zł,9 700 zł/m²,"ul. Ignacego Daszyńskiego, Ostropa, Gliwice, śląskie",70.62m²,3 pokoje,miejskie,pierwotny,deweloper,2023,,,
https://www.otodom.pl/pl/oferta/mieszkanie-58-49-m-warszawa-ID4wgtG,980 000 zł,16 755 zł/m²,"ul. Arkuszowa, Radiowo, Bielany, Warszawa, mazowieckie",58.49m²,3 pokoje,brak informacji,wtórny,biuro nieruchomości,2014,,Brak danych,
https://www.otodom.pl/pl/oferta/warszawa-saska-kepa-ul-zwyciezcow-40-ID4ukyG,1 250 000 zł,22 978 zł/m²,"ul. Zwycięzców, Saska Kępa, Praga-Południe, Warszawa, mazowieckie",54.4m²,2 pokoje,miejskie,wtórny,biuro nieruchomości,2008,,,
https://www.otodom.pl/pl/oferta/przytulne-mieszkanie-na-zoliborzu-ID4ugmR,585 000 zł,18 281 zł/m²,"ul. ks. Jerzego Popiełuszki, Sady Żoliborskie, Żoliborz, Warszawa, mazowieckie",32m²,2 pokoje,miejskie,wtórny,biuro nieruchomości,Brak danych,Brak danych,Brak danych,
https://www.otodom.pl/pl/oferta/1-pokojowy-apartament-inwestycyjny-26m2-loggia-ID4uVXd,Brak danych,Brak danych,"ul. Kaszubska, Oliwa, Gdańsk, pomorskie",26.2m²,1 pokój,brak informacji,pierwotny,deweloper,2026,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-43m2-balkon-ID4uaSF,467 886 zł,10 763 zł/m²,"ul. Koszalińska, Strzeszyn, Jeżyce, Poznań, wielkopolskie",43.47m²,2 pokoje,brak informacji,pierwotny,deweloper,2026,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-78m2-balkon-bezposrednio-ID4uo3G,1 338 455 zł,17 029 zł/m²,"ul. Pabianicka, Powstańców Śląskich, Krzyki, Wrocław, dolnośląskie",78.6m²,3 pokoje,brak informacji,pierwotny,deweloper,2025,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-68m2-loggia-ID4uaTG,925 527 zł,13 587 zł/m²,"ul. Koszalińska, Strzeszyn, Jeżyce, Poznań, wielkopolskie",68.12m²,3 pokoje,brak informacji,pierwotny,deweloper,2026,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/przestronne-i-eleganckie-mieszkanie-na-sprzedaz-ID4wgqy,1 099 900 zł,9 843 zł/m²,"ul. Działkowa 46, Pruszków, pruszkowski, mazowieckie",111.74m²,4 pokoje,miejskie,wtórny,biuro nieruchomości,2004,,,
https://www.otodom.pl/pl/oferta/przestronna-kawalerka-z-balkonem-ID4wgql,310 000 zł,7 868 zł/m²,"ul. Górnośląska, Czaszki, Kalisz, wielkopolskie",39.4m²,1 pokój,miejskie,wtórny,biuro nieruchomości,Brak danych,,,
https://www.otodom.pl/pl/oferta/2-pokoje-z-miejscem-parkingowym-i-kom-lokatorska-ID4u9ce,649 900 zł,13 582 zł/m²,"ul. Orłów Piastowskich, Gołąbki, Ursus, Warszawa, mazowieckie",47.85m²,2 pokoje,miejskie,wtórny,biuro nieruchomości,2004,,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/mieszkanie-36m2-1-pietro-osiedle-stale-jaworzno-ID4uVoT,323 000 zł,8 977 zł/m²,"ul. Radosna, Jaworzno, śląskie",35.98m²,2 pokoje,miejskie,wtórny,prywatny,1970,,,
https://www.otodom.pl/pl/oferta/przestronne-z-potencjalem-podwyzszony-parter-ID4uJPU,640 000 zł,12 574 zł/m²,"ul. Lazurowa, Górce, Bemowo, Warszawa, mazowieckie",50.9m²,2 pokoje,miejskie,wtórny,biuro nieruchomości,1977,,Brak danych,
https://www.otodom.pl/pl/oferta/azyllium-mieszkanie-2-pok-24-ID4pbjj,Brak danych,Brak danych,"ul. Żurawia, Gutkowo, Olsztyn, warmińsko-mazurskie",42.38m²,2 pokoje,inne,pierwotny,deweloper,2025,,,Brak danych
https://www.otodom.pl/pl/oferta/2-pok-niska-zabudowa-2007-duzy-parking-ID4wgtu,617 990 zł,12 923 zł/m²,"Psie Pole, Psie Pole, Wrocław, dolnośląskie",47.82m²,2 pokoje,miejskie,wtórny,biuro nieruchomości,2007,,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/na-sprzedaz-mieszkanie-58-mkw-zywiec700-lecia-ID4uXIC,405 000 zł,6 983 zł/m²,"os. 700-lecia, Żywiec, żywiecki, śląskie",58m²,3 pokoje,miejskie,wtórny,biuro nieruchomości,Brak danych,,,Brak danych
https://www.otodom.pl/pl/oferta/3-pokojowy-apartament-inwestycyjny-47m2-balkon-ID4uVVu,Brak danych,Brak danych,"ul. Kaszubska, Oliwa, Gdańsk, pomorskie",47.49m²,3 pokoje,brak informacji,pierwotny,deweloper,2026,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/2-pokoje-na-mokotowieswietny-rozklad-ID4rvBw,599 000 zł,12 963 zł/m²,"ul. Artura Malawskiego, Wyględów, Mokotów, Warszawa, mazowieckie",46.21m²,2 pokoje,brak informacji,wtórny,biuro nieruchomości,1972,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/sloneczne-mieszkanie-dwupokojowe-do-remontu-ID4wgoP,370 000 zł,7 475 zł/m²,"ul. Melchiora Wańkowicza 14, Nagórki, Olsztyn, warmińsko-mazurskie",49.5m²,2 pokoje,miejskie,wtórny,prywatny,1982,,,Brak danych
https://www.otodom.pl/pl/oferta/nowa-cena-malinka-3-pok-miejsce-parkingowe-ID4tkga,550 000 zł,8 885 zł/m²,"Malinka, Malinka, Opole, opolskie",61.9m²,3 pokoje,miejskie,wtórny,biuro nieruchomości,Brak danych,,,
https://www.otodom.pl/pl/oferta/apartament-z-3-lazienkami-w-kameralnej-zabudowie-ID4uMv1,2 175 000 zł,21 027 zł/m²,"ul. Iwo Galla, Brzeźno, Gdańsk, pomorskie",103.44m²,4 pokoje,miejskie,wtórny,biuro nieruchomości,2014,,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/okazja-2-pok-43m2-z-balkonem-tramwaj-ID4wg4F,464 082 zł,10 705 zł/m²,"Rataje, Nowe Miasto, Poznań, wielkopolskie",43.35m²,2 pokoje,miejskie,pierwotny,biuro nieruchomości,2025,,,Brak danych
https://www.otodom.pl/pl/oferta/duze-4pok-bez-pcc-gotoweparking-gratis-ID4wgp8,515 400 zł,8 736 zł/m²,"ul. Odległa, Centrum, Chorzów, śląskie",59m²,4 pokoje,miejskie,pierwotny,biuro nieruchomości,Brak danych,,,
https://www.otodom.pl/pl/oferta/viva-cit-komfortowe-2-pokoje-smart-home-ID4uXSU,706 000 zł,17 983 zł/m²,"ul. Podgrodzie, Chrzanów, Bemowo, Warszawa, mazowieckie",39.26m²,2 pokoje,miejskie,pierwotny,biuro nieruchomości,Brak danych,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/przytulne-2-pokojowe-mieszkanie-z-balkonem-ID4uEDW,429 000 zł,8 900 zł/m²,"ul. Jerzego Burskiego, Osiedle Kościuszki, Olsztyn, warmińsko-mazurskie",48.2m²,2 pokoje,miejskie,wtórny,biuro nieruchomości,1987,,,
https://www.otodom.pl/pl/oferta/2pokoje-na-iii-pietrze-ul-gorna-hrubieszow-ID4uxKU,219 000 zł,4 244 zł/m²,"ul. Górna, Hrubieszów, hrubieszowski, lubelskie",51.6m²,2 pokoje,miejskie,wtórny,biuro nieruchomości,1987,,,Brak danych
https://www.otodom.pl/pl/oferta/swietne-mieszkanie-2-pokoje-kolobrzeg-ID4wgpY,459 000 zł,14 946 zł/m²,"ul. Trzebiatowska, Kołobrzeg, kołobrzeski, zachodniopomorskie",30.71m²,2 pokoje,miejskie,wtórny,biuro nieruchomości,2022,,Brak danych,
https://www.otodom.pl/pl/oferta/penthouse-z-panoramicznym-widokiem-ID4uPvZ,1 390 000 zł,12 519 zł/m²,"ul. Młynarska, Piaseczno, Piaseczno, piaseczyński, mazowieckie",111.03m²,4 pokoje,miejskie,wtórny,biuro nieruchomości,2015,,,Brak danych
https://www.otodom.pl/pl/oferta/wyjatkowe-3-pokojowe-mieszkanie-w-tucholi-ID4w5yg,275 000 zł,5 658 zł/m²,"ul. Warszawska, Tuchola, Tuchola, tucholski, kujawsko-pomorskie",48.6m²,3 pokoje,miejskie,wtórny,prywatny,1980,,,
https://www.otodom.pl/pl/oferta/apartament-w-sloneczniej-hiszpanii-ID4wgt9,305 000 zł,3 352 zł/m²,Brak danych,91m²,2 pokoje,inne,wtórny,biuro nieruchomości,2025,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-64m2-ogrodek-bezposrednio-ID4um0P,Brak danych,Brak danych,"ul. Heinricha Lauterbacha, Leśnica, Fabryczna, Wrocław, dolnośląskie",64.91m²,3 pokoje,brak informacji,pierwotny,deweloper,2026,Brak danych,Brak danych,Brak danych
